date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
,Alameda,County,1685886.0,1.0,1.0,0.0,0.0,351.0,351,11.0,11,0.0,0.0,0.0,0.0,,
,Alpine,County,1117.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
,Butte,County,217769.0,0.0,0.0,0.0,0.0,33.0,33,4.0,4,0.0,0.0,0.0,0.0,,
,Contra Costa,County,1160099.0,8.0,8.0,0.0,0.0,180.0,180,4.0,4,0.0,0.0,0.0,0.0,,
,Kern,County,927251.0,4.0,4.0,0.0,0.0,143.0,143,4.0,4,0.0,0.0,0.0,0.0,,
,Out of state,County,,,,,,2080.0,2080,115.0,115,,,,,,
,Placer,County,400434.0,1.0,1.0,0.0,0.0,132.0,132,2.0,2,0.0,0.0,0.0,0.0,,
,Kings,County,156444.0,3.0,3.0,0.0,0.0,78.0,78,5.0,5,0.0,0.0,0.0,0.0,,
,Plumas,County,18997.0,0.0,0.0,0.0,0.0,5.0,5,0.0,0,0.0,0.0,0.0,0.0,,
,Riverside,County,2468145.0,29.0,29.0,0.0,0.0,458.0,458,25.0,25,0.0,0.0,0.0,0.0,,
,Del Norte,County,27558.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
,Lake,County,64871.0,0.0,0.0,0.0,0.0,2.0,2,0.0,0,0.0,0.0,0.0,0.0,,
,Sacramento,County,1567975.0,1.0,1.0,0.0,0.0,344.0,344,15.0,15,0.0,0.0,0.0,0.0,,
,San Benito,County,64022.0,4.0,4.0,0.0,0.0,12.0,12,1.0,1,0.0,0.0,0.0,0.0,,
,Lassen,County,30065.0,0.0,0.0,0.0,0.0,6.0,6,0.0,0,0.0,0.0,0.0,0.0,,
,San Bernardino,County,2217398.0,51.0,51.0,0.0,0.0,306.0,306,15.0,15,0.0,0.0,0.0,0.0,,
,San Diego,County,3370418.0,0.0,0.0,0.0,0.0,461.0,461,12.0,12,0.0,0.0,0.0,0.0,,
,Calaveras,County,44289.0,2.0,2.0,0.0,0.0,3.0,3,0.0,0,0.0,0.0,0.0,0.0,,
,El Dorado,County,193098.0,0.0,0.0,0.0,0.0,13.0,13,0.0,0,0.0,0.0,0.0,0.0,,
,Los Angeles,County,10257557.0,109.0,109.0,1.0,1.0,4491.0,4491,226.0,226,0.0,0.0,0.0,0.0,,
,San Francisco,County,892280.0,8.0,8.0,0.0,0.0,74.0,74,4.0,4,0.0,0.0,0.0,0.0,,
,San Joaquin,County,782545.0,0.0,0.0,0.0,0.0,48.0,48,3.0,3,0.0,0.0,0.0,0.0,,
,Madera,County,160089.0,2.0,2.0,1.0,1.0,201.0,201,1.0,1,0.0,0.0,0.0,0.0,,
,San Luis Obispo,County,278862.0,2.0,2.0,0.0,0.0,20.0,20,0.0,0,0.0,0.0,0.0,0.0,,
,San Mateo,County,778001.0,3.0,3.0,0.0,0.0,121.0,121,1.0,1,0.0,0.0,0.0,0.0,,
,Fresno,County,1032227.0,3.0,3.0,0.0,0.0,1452.0,1452,35.0,35,0.0,0.0,0.0,0.0,,
,Marin,County,260800.0,2.0,2.0,0.0,0.0,21.0,21,1.0,1,0.0,0.0,0.0,0.0,,
,Santa Barbara,County,456373.0,0.0,0.0,0.0,0.0,29.0,29,0.0,0,0.0,0.0,0.0,0.0,,
